,pos,count
8_18,8_18,5.0
10_25,10_25,1.0
6_7,6_7,1.0
10_20,10_20,2.0
12_6,12_6,8.0
10_22,10_22,1.0
13_3,13_3,1.0
8_14,8_14,1.0
8_15,8_15,1.0
8_16,8_16,15.0
8_17,8_17,14.0
10_26,10_26,1.0
11_9,11_9,1.0
4_17,4_17,1.0
7_19,7_19,1.0
7_18,7_18,2.0
12_13,12_13,1.0
6_12,6_12,3.0
6_13,6_13,4.0
5_25,5_25,1.0
7_15,7_15,6.0
11_19,11_19,1.0
8_20,8_20,1.0
8_24,8_24,1.0
8_19,8_19,1.0
9_20,9_20,1.0
4_25,4_25,1.0
10_18,10_18,1.0
10_15,10_15,1.0
13_4,13_4,1.0
3_20,3_20,1.0
6_22,6_22,1.0
5_26,5_26,1.0
7_20,7_20,1.0
5_12,5_12,1.0
5_19,5_19,3.0
5_18,5_18,1.0
1_24,1_24,1.0
9_15,9_15,1.0
9_14,9_14,2.0
12_12,12_12,1.0
11_12,11_12,1.0
6_21,6_21,3.0
6_20,6_20,4.0
